Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
Address,0,100.0,integer,36868,2040133001: 26; 1110105005: 25; 1260013005: 20
DYCOL01,0,100.0,integer,26,"1: 36,868; 2: 34,712; 3: 29,937"
DYCOL03,0,100.0,integer,9,"3: 74,736; 1: 36,868; 2: 31,357"
DYCOL04,0,100.0,integer,2,"1: 75,370; 2: 75,100"
DYCOL05,1,99.99933541569747,integer,101,"18: 4,339; 17: 3,861; 20: 3,827"
DYCOL06,13339,91.13510998870207,string,4,"1: 108,551; 2: 28,322; -: 258"
DYCOL07,41660,72.31341795706786,string,4,"2: 72,547; 1: 36,005; -: 258"
DYCOL08,41661,72.31275337276534,string,69,"106: 20,381; 214: 14,283; 313: 6,398"
DYCOL09,22506,85.04286568751246,integer,7,"1: 43,662; 5: 35,034; 4: 26,090"
DYCOL10,22502,85.04552402472254,integer,5,"1: 70,160; 4: 51,242; 2: 5,769"
