Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
ADDRESS,0,100.0,integer,8680,73159: 5; 32085: 5; 33032: 4
COL01,0,100.0,integer,13,"1: 8,477; 2: 585; 3: 519"
COL02,0,100.0,string,162,"410: 2,276; 754: 1,991; 985: 1,248"
COL03,29,99.70819078285369,integer,3,"1: 8,699; 2: 1,210"
COL04,0,100.0,integer,371,"0: 8,682; 360000: 42; 180000: 31"
COL05,0,100.0,integer,1213,"0: 5,200; 30000: 114; 100000: 110"
COL06,0,100.0,integer,676,"0: 7,239; 5000: 115; 2000: 110"
COL07,0,100.0,integer,873,"0: 7,012; 20000: 80; 5000: 78"
COL08,0,100.0,integer,232,"0: 9,291; 5000: 56; 10000: 24"
COL09,0,100.0,integer,2330,"0: 4,835; 120000: 57; 300000: 53"
COL10,0,100.0,integer,2300,360000: 295; 600000: 270; 720000: 266
