Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
ADDRESS,0,100.0,integer,3537,1041045: 6; 133007: 5; 1233111: 4
COL01,0,100.0,integer,12,"1: 3,267; 2: 315; 3: 227"
COL02,0,100.0,integer,125,"410: 1,045; 753: 721; 985: 485"
COL03,0,100.0,integer,3,"1: 3,442; 2: 542; 12: 1"
COL04,0,100.0,integer,217,"0: 3,473; 5000: 23; 3000: 17"
COL05,0,100.0,integer,732,"0: 1,857; 200000: 54; 150000: 51"
COL06,0,100.0,integer,413,"0: 2,720; 5000: 59; 50000: 55"
COL07,0,100.0,integer,450,"0: 2,817; 20000: 34; 10000: 32"
COL08,0,100.0,integer,166,"0: 3,563; 5000: 25; 30000: 25"
COL09,0,100.0,integer,1146,"0: 1,796; 600000: 31; 300000: 28"
COL10,0,100.0,integer,1282,720000: 123; 600000: 116; 1800000: 88
