Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
ADDRESS,0,100.0,integer,1768,1042003: 4; 132021: 4; 141006: 4
COL01,0,100.0,integer,12,"1: 1,708; 2: 116; 3: 113"
COL02,0,100.0,integer,109,410: 488; 753: 352; 985: 299
COL03,0,100.0,integer,3,"1: 1,701; 2: 309; 12: 2"
COL04,0,100.0,integer,144,"0: 1,756; 360000: 11; 5000: 10"
COL05,0,100.0,integer,459,"0: 1,048; 300000: 21; 20000: 21"
COL06,0,100.0,integer,239,"0: 1,474; 5000: 28; 50000: 22"
COL07,0,100.0,integer,320,"0: 1,415; 5000: 16; 30000: 15"
COL08,0,100.0,integer,101,"0: 1,835; 5000: 11; 10000: 8"
COL09,0,100.0,integer,664,0: 958; 120000: 16; 400000: 16
COL10,0,100.0,integer,755,720000: 60; 120000: 47; 360000: 47
