Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
ADDRESS,0,100.0,integer,10905,23141: 12; 31077: 11; 43033: 11
COL01,0,100.0,integer,20,"1: 15,276; 2: 2,195; 3: 2,035"
COL02,0,100.0,string,178,"612: 5,740; 614: 4,320; 753: 2,162"
COL03,0,100.0,string,251,"1111: 5,965; 1122: 3,177; 3214: 2,157"
COL04,0,100.0,integer,3,"2: 14,680; 3: 4,108; 1: 2,769"
COL05,0,100.0,integer,2,"1: 12,458; 2: 9,099"
COL06,0,100.0,integer,841,"0: 16,696; 100000: 187; 50000: 186"
COL07,0,100.0,integer,2616,"0: 9,084; 300000: 247; 150000: 205"
COL08,0,100.0,integer,810,"0: 17,120; 20000: 197; 10000: 184"
COL09,0,100.0,integer,1403,"0: 14,175; 50000: 206; 20000: 179"
COL10,0,100.0,integer,257,"0: 20,568; 20000: 58; 150000: 44"
COL11,0,100.0,integer,3680,"0: 8,182; 300000: 191; 500000: 180"
COL12,0,100.0,integer,5220,"0: 4,344; 3600000: 306; 1800000: 246"
