Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
ADDRESS,0,100.0,integer,2748,1001001: 1; 1203002: 1; 1202004: 1
Q1,0,100.0,integer,6,"1: 1,942; 3: 410; 5: 232"
Q2,0,100.0,integer,9,"2: 1,790; 3: 402; 7: 166"
Q3,0,100.0,integer,13,4: 663; 3: 661; 2: 552
Q4,0,100.0,integer,2,"2: 2,480; 1: 268"
Q5,0,100.0,integer,2,"2: 2,727; 1: 21"
Q6,0,100.0,integer,178,100: 148; 80: 147; 120: 143
Q7_01,0,100.0,integer,2,"2: 2,264; 1: 484"
Q7_02,0,100.0,integer,2,"2: 2,376; 1: 372"
Q7_03,0,100.0,integer,2,"2: 2,273; 1: 475"
Q7_04,0,100.0,integer,2,"1: 1,848; 2: 900"
Q7_05,0,100.0,integer,2,"1: 2,151; 2: 597"
Q7_06,0,100.0,integer,2,"1: 1,637; 2: 1,111"
Q7_07,0,100.0,integer,2,"1: 1,936; 2: 812"
Q7_08,0,100.0,integer,2,"2: 2,402; 1: 346"
Q7_09,0,100.0,integer,2,"2: 2,387; 1: 361"
Q7_10,0,100.0,integer,2,"1: 2,557; 2: 191"
Q7_11,0,100.0,integer,2,"1: 2,402; 2: 346"
Q7_12,0,100.0,integer,2,"2: 2,074; 1: 674"
Q7_13,0,100.0,integer,2,"2: 1,752; 1: 996"
Q8_1,0,100.0,integer,2,"1: 2,612; 2: 136"
Q8_2,0,100.0,integer,2,"1: 2,730; 2: 18"
Q8_3,0,100.0,integer,2,"2: 2,448; 1: 300"
Q8_4,0,100.0,integer,2,"1: 1,620; 2: 1,128"
Q8_5,0,100.0,integer,2,"2: 1,545; 1: 1,203"
Q8_6,0,100.0,integer,2,"2: 2,174; 1: 574"
Q8_7,0,100.0,integer,2,"2: 2,538; 1: 210"
Q8_8,0,100.0,integer,2,"1: 2,032; 2: 716"
