Column,Missing_Count,Availability_Ratio,Data_Type,Unique_Values,Frequent_Values
ADDRESS,0,100.0,integer,2212,22064: 7; 22036: 5; 22056: 5
COL01,301,92.35458470916942,string,12,"01: 3,532; 02: 45; 03: 32"
COL02,0,100.0,integer,12,"612: 1,977; 614: 1,336; 613: 507"
COL03,0,100.0,integer,2,"1: 3,836; 2: 101"
COL04,0,100.0,integer,394,"0: 2,304; 20000: 91; 15000: 87"
COL05,0,100.0,integer,1263,0: 402; 50000: 70; 20000: 69
COL06,0,100.0,integer,373,"0: 2,752; 3000: 54; 5000: 53"
COL07,0,100.0,integer,637,"0: 1,967; 30000: 59; 20000: 57"
COL08,0,100.0,integer,1031,0: 664; 150000: 75; 50000: 73
COL09,0,100.0,integer,2252,10000: 38; 40000: 30; 20000: 30
